"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"12/03/2024","234.03","233.85","234.87","233.45","75.70K","0.08%"
"11/03/2024","233.84","236.24","237.12","233.11","92.17K","-1.05%"
"08/03/2024","236.32","237.38","239.00","235.81","127.81K","-0.44%"
"07/03/2024","237.37","233.51","237.66","233.39","143.58K","0.82%"
"06/03/2024","235.45","236.93","237.93","233.96","105.90K","-0.80%"
"05/03/2024","237.35","237.37","238.02","234.88","80.26K","-0.01%"
"04/03/2024","237.38","236.60","238.86","235.70","104.18K","0.40%"
"01/03/2024","236.43","235.45","236.66","235.33","104.20K","0.41%"
"29/02/2024","235.46","235.16","236.35","233.78","95.40K","0.13%"
"28/02/2024","235.16","235.39","236.52","234.07","90.54K","-0.09%"
"27/02/2024","235.38","232.86","235.38","232.25","91.99K","1.08%"
"26/02/2024","232.86","231.08","232.86","230.24","78.78K","0.77%"
"23/02/2024","231.08","233.79","234.79","230.69","120.06K","-1.25%"
"22/02/2024","234.01","232.84","235.05","231.35","80.71K","0.07%"
"21/02/2024","233.84","233.50","234.59","232.48","63.36K","0.15%"
"20/02/2024","233.50","231.88","234.53","230.38","95.82K","0.06%"
"19/02/2024","233.37","233.04","234.04","232.23","83.21K","0.14%"
"16/02/2024","233.04","232.65","234.32","230.20","66.01K","0.12%"
"15/02/2024","232.75","231.54","233.39","230.96","59.22K","0.74%"
"07/02/2024","231.04","230.52","231.63","230.42","61.54K","0.18%"
"06/02/2024","230.63","228.21","231.47","228.12","84.48K","0.15%"
"05/02/2024","230.28","230.56","231.03","229.86","69.44K","-0.12%"
"02/02/2024","230.56","230.57","231.92","230.19","74.80K","0.00%"
"01/02/2024","230.57","229.18","231.02","228.91","52.62K","0.61%"
"31/01/2024","229.18","230.66","231.90","229.05","95.98K","-0.64%"
"30/01/2024","230.66","229.04","230.82","228.89","58.21K","0.70%"
"29/01/2024","229.05","229.46","230.22","229.02","52.42K","-0.17%"
"26/01/2024","229.43","228.49","229.89","228.45","59.46K","0.40%"
"25/01/2024","228.52","228.53","229.41","228.01","42.55K","0.00%"
"24/01/2024","228.53","229.26","229.93","226.66","55.99K","-0.32%"
"23/01/2024","229.26","229.65","230.31","228.93","60.55K","-0.22%"
"22/01/2024","229.77","229.48","230.60","228.19","63.78K","0.13%"
"19/01/2024","229.48","229.93","231.47","229.35","59.93K","-0.20%"
"18/01/2024","229.93","229.35","230.52","228.95","47.73K","0.19%"
"17/01/2024","229.50","229.50","231.32","228.58","74.94K","0.00%"
"16/01/2024","229.50","227.02","229.50","226.54","52.50K","0.86%"
"15/01/2024","227.55","230.31","231.30","227.47","62.38K","-1.20%"
"12/01/2024","230.31","232.59","232.69","229.20","98.27K","-1.03%"
"11/01/2024","232.71","231.43","233.46","231.18","82.33K","0.56%"
"10/01/2024","231.41","232.39","233.44","230.91","88.70K","-0.47%"
"09/01/2024","232.50","233.33","233.95","232.02","78.36K","-0.36%"
"08/01/2024","233.33","232.76","234.88","232.38","82.78K","0.24%"
"05/01/2024","232.76","232.56","233.35","231.69","59.58K","0.09%"
"04/01/2024","232.56","231.63","233.66","231.63","111.74K","0.40%"
"03/01/2024","231.64","230.12","231.64","228.81","57.90K","0.72%"
"02/01/2024","229.99","230.69","232.40","229.70","59.40K","-0.45%"
"29/12/2023","231.04","229.25","232.29","229.24","68.73K","-0.13%"
"28/12/2023","231.35","230.45","231.54","229.95","55.94K","0.33%"
"27/12/2023","230.60","231.26","231.98","230.07","62.64K","-0.29%"
"26/12/2023","231.26","228.11","231.29","224.62","54.60K","0.79%"
"25/12/2023","229.45","227.57","229.95","225.90","53.57K","0.52%"
"22/12/2023","228.27","228.48","229.89","227.34","80.08K","-0.09%"
"21/12/2023","228.48","228.16","228.49","227.12","46.00K","0.14%"
"20/12/2023","228.16","227.04","228.21","226.92","45.79K","0.39%"
"19/12/2023","227.27","224.87","227.27","223.39","78.47K","0.68%"
"18/12/2023","225.73","227.04","227.56","225.11","62.27K","-0.57%"
"15/12/2023","227.02","227.23","228.49","226.16","76.52K","-0.09%"
"14/12/2023","227.23","228.52","230.05","226.48","80.91K","-0.52%"
"13/12/2023","228.42","231.67","232.57","228.00","97.24K","-1.42%"
"12/12/2023","231.71","230.09","232.91","226.38","74.25K","0.15%"
"11/12/2023","231.37","231.02","232.64","229.81","76.36K","0.07%"
"08/12/2023","231.20","232.65","233.09","230.12","90.16K","-0.28%"
"07/12/2023","231.84","232.29","234.71","228.72","185.18K","-0.77%"
"06/12/2023","233.63","231.28","233.64","231.05","100.76K","0.99%"
"05/12/2023","231.34","230.49","232.62","230.24","91.79K","0.01%"
"04/12/2023","231.31","226.08","232.75","226.08","136.47K","2.23%"
"01/12/2023","226.26","226.15","227.47","224.35","74.17K","0.05%"
"30/11/2023","226.15","227.03","228.76","226.13","97.86K","-0.39%"
"29/11/2023","227.03","224.39","227.04","224.06","76.61K","1.18%"
"28/11/2023","224.39","223.25","224.66","220.75","77.85K","0.22%"
"27/11/2023","223.89","226.10","226.82","222.93","55.29K","-0.98%"
"24/11/2023","226.10","222.90","226.10","220.15","122.38K","0.69%"
"23/11/2023","224.54","230.49","232.01","224.54","129.07K","-2.58%"
"22/11/2023","230.49","229.37","230.74","228.03","97.33K","0.30%"
"21/11/2023","229.80","227.20","229.95","225.92","91.30K","0.89%"
"20/11/2023","227.77","226.54","228.47","223.50","93.19K","0.54%"
"17/11/2023","226.54","229.56","231.11","225.41","147.44K","-1.32%"
"16/11/2023","229.56","227.86","229.57","226.49","101.42K","0.74%"
"15/11/2023","227.88","225.45","232.25","225.45","108.42K","0.20%"
"14/11/2023","227.43","226.13","229.47","225.97","82.12K","0.58%"
