time,close
2021-10-29,59.68
2021-10-30,59.68
2021-10-31,59.68
2021-11-01,59.97
2021-11-02,59.74
2021-11-03,59.45
2021-11-04,58.23
2021-11-05,57.45
2021-11-06,57.45
2021-11-07,57.45
2021-11-08,56.67
2021-11-09,56.19
2021-11-10,56.41
2021-11-11,56.67
2021-11-12,57.23
2021-11-13,57.23
2021-11-14,57.23
2021-11-15,57.21
2021-11-16,57.21
2021-11-17,57.35
2021-11-18,57.42
2021-11-19,57.22
2021-11-20,57.22
2021-11-21,57.22
2021-11-22,58.19
2021-11-23,59.67
2021-11-24,61.93
2021-11-25,62.19
2021-11-26,66.92
2021-11-27,66.92
2021-11-28,66.92
2021-11-29,65.18
2021-11-30,65.18
2021-12-01,64.67
2021-12-02,64.69
2021-12-03,64.68
2021-12-04,64.68
2021-12-05,64.68
2021-12-06,64.68
2021-12-07,62.93
2021-12-08,62.43
2021-12-09,61.45
2021-12-10,61.44
2021-12-11,61.44
2021-12-12,61.44
2021-12-13,61.44
2021-12-14,60.19
2021-12-15,60.68
2021-12-16,60.2
2021-12-17,59.7
2021-12-18,59.7
2021-12-19,59.7
2021-12-20,60.19
2021-12-21,58.93
2021-12-22,57.93
2021-12-23,57.94
2021-12-24,57.4
2021-12-25,57.4
2021-12-26,57.4
2021-12-27,57.69
2021-12-28,57.7
2021-12-29,57.94
2021-12-30,58.44
2021-12-31,57.2
2022-01-01,57.2
2022-01-02,57.2
2022-01-03,57.19
2022-01-04,56.45
2022-01-05,55.7
2022-01-06,57.19
2022-01-07,57.92
2022-01-08,57.92
2022-01-09,57.92
2022-01-10,58.86
2022-01-11,58.93
2022-01-12,58.2
2022-01-13,58.7
2022-01-14,59.67
2022-01-15,59.67
2022-01-16,59.67
2022-01-17,61.41
2022-01-18,63.4
2022-01-19,62.42
2022-01-20,61.92
2022-01-21,63.2
2022-01-22,63.2
2022-01-23,63.2
2022-01-24,65.92
2022-01-25,65.91
2022-01-26,66.15
2022-01-27,67.65
2022-01-28,69.5
2022-01-29,69.5
2022-01-30,69.5
2022-01-31,69.61
2022-02-01,69.65
2022-02-02,68.15
2022-02-03,72.09
2022-02-04,74.6
2022-02-05,74.6
2022-02-06,74.6
2022-02-07,78.61
2022-02-08,76.63
2022-02-09,74.66
2022-02-10,77.59
2022-02-11,79.27
2022-02-12,79.27
2022-02-13,79.27
2022-02-14,83.09
2022-02-15,82.11
2022-02-16,81.86
2022-02-17,82.36
2022-02-18,87.57
2022-02-19,87.57
2022-02-20,87.57
2022-02-21,97.0
2022-02-22,96.01
2022-02-23,97.51
2022-02-24,102.46
2022-02-25,98.0
2022-02-26,98.0
2022-02-27,98.0
2022-02-28,105.32
2022-03-01,106.33
2022-03-02,107.44
2022-03-03,110.04
2022-03-04,119.13
2022-03-05,119.13
2022-03-06,119.13
2022-03-07,132.67
2022-03-08,131.24
2022-03-09,118.84
2022-03-10,124.8
2022-03-11,126.25
2022-03-12,126.25
2022-03-13,126.25
2022-03-14,125.53
2022-03-15,126.51
2022-03-16,122.83
2022-03-17,120.32
2022-03-18,123.79
2022-03-19,123.79
2022-03-20,123.79
2022-03-21,130.73
2022-03-22,128.26
2022-03-23,129.19
2022-03-24,130.71
2022-03-25,128.75
2022-03-26,128.75
2022-03-27,128.75
2022-03-28,127.26
2022-03-29,119.83
2022-03-30,120.32
2022-03-31,119.29
2022-04-01,118.31
2022-04-02,118.31
2022-04-03,118.31
2022-04-04,116.88
2022-04-05,119.4
2022-04-06,119.89
2022-04-07,120.87
2022-04-08,119.4
2022-04-09,119.4
2022-04-10,119.4
2022-04-11,117.66
2022-04-12,117.88
2022-04-13,118.87
2022-04-14,118.88
2022-04-15,118.89
2022-04-16,118.89
2022-04-17,118.89
2022-04-18,118.88
2022-04-19,120.63
2022-04-20,119.87
2022-04-21,118.91
2022-04-22,119.91
2022-04-23,119.91
2022-04-24,119.91
2022-04-25,123.32
2022-04-26,128.58
2022-04-27,132.04
2022-04-28,133.58
2022-04-29,134.33
2022-04-30,134.33
2022-05-01,134.33
2022-05-02,134.3
2022-05-03,133.82
2022-05-04,136.31
2022-05-05,139.03
2022-05-06,139.83
2022-05-07,139.83
2022-05-08,139.83
2022-05-09,144.23
2022-05-10,144.21
2022-05-11,140.06
2022-05-12,141.16
2022-05-13,140.79
2022-05-14,140.79
2022-05-15,140.79
2022-05-16,142.27
2022-05-17,137.34
2022-05-18,139.74
2022-05-19,141.71
2022-05-20,144.42
2022-05-21,144.42
2022-05-22,144.42
2022-05-23,139.77
2022-05-24,142.32
2022-05-25,139.73
2022-05-26,133.89
2022-05-27,129.82
2022-05-28,129.82
2022-05-29,129.82
2022-05-30,127.6
2022-05-31,131.19
2022-06-01,132.98
2022-06-02,133.01
2022-06-03,132.99
2022-06-04,132.99
2022-06-05,132.99
2022-06-06,132.47
2022-06-07,133.79
2022-06-08,134.31
2022-06-09,136.33
2022-06-10,148.79
2022-06-11,148.79
2022-06-12,148.79
2022-06-13,156.83
2022-06-14,163.56
2022-06-15,161.08
2022-06-16,172.17
2022-06-17,172.62
2022-06-18,172.62
2022-06-19,172.62
2022-06-20,173.58
2022-06-21,172.34
2022-06-22,176.72
2022-06-23,183.04
2022-06-24,182.3
2022-06-25,182.3
2022-06-26,182.3
2022-06-27,186.06
2022-06-28,187.57
2022-06-29,194.29
2022-06-30,206.06
2022-07-01,209.61
2022-07-02,209.61
2022-07-03,209.61
2022-07-04,209.1
2022-07-05,214.16
2022-07-06,214.25
2022-07-07,210.58
2022-07-08,208.18
2022-07-09,208.18
2022-07-10,208.18
2022-07-11,210.29
2022-07-12,216.25
2022-07-13,218.48
2022-07-14,224.66
2022-07-15,228.17
2022-07-16,228.17
2022-07-17,228.17
2022-07-18,225.89
2022-07-19,219.49
2022-07-20,209.41
2022-07-21,207.98
2022-07-22,197.23
2022-07-23,197.23
2022-07-24,197.23
2022-07-25,192.46
2022-07-26,199.31
2022-07-27,206.01
2022-07-28,199.35
2022-07-29,191.26
2022-07-30,191.26
2022-07-31,191.26
2022-08-01,194.45
2022-08-02,202.0
2022-08-03,198.14
2022-08-04,201.46
2022-08-05,200.7
2022-08-06,200.7
2022-08-07,200.7
2022-08-08,198.58
2022-08-09,204.49
2022-08-10,201.26
2022-08-11,194.98
2022-08-12,192.98
2022-08-13,192.98
2022-08-14,192.98
2022-08-15,191.44
2022-08-16,193.53
2022-08-17,197.66
2022-08-18,195.84
2022-08-19,200.3
2022-08-20,200.3
2022-08-21,200.3
2022-08-22,208.71
2022-08-23,210.58
2022-08-24,210.56
2022-08-25,208.29
2022-08-26,209.64
